,user,absolute_learning_gain,realized_learning_gain,type,average_query_len,number_of_queries,number_of_views,number_of_clicks,session_duration,one_two_to_four,one_two_to_three,three_to_four,one_two_no_change,other,valid_questions,topic,average_dwell_time,unique_docs,number_of_bookmars,education_level,search_time
0,5ce456ea65535c0019185cd6,0.7,0.35,control,5.5,2,35,14,2407,3,1,0,6,0,4,Subprime mortgage crisis,22,12,9,Other,2086
1,56e06fde907c12000ae3ab94,1.1,0.55,visual,2.75,4,45,8,3835,5,1,0,4,0,4,Radiocarbon dating considerations,180,6,1,Bachelor's degree(s),1994
2,5d53ec22cb1bcf0015f59a65,1.0,0.5263157894736842,visual,1.8333333333333333,12,145,23,3399,4,1,1,4,0,4,Ethics,4,21,21,Bachelor's degree(s),2427
3,5cdd2cd048d5f100155fabce,1.0,0.5,control,4.0,4,45,9,2358,5,0,0,5,0,4,Subprime mortgage crisis,202,7,2,Bachelor's degree(s),1784
4,5d78fcd59066d90001a4977a,0.4,0.2,visual,3.6666666666666665,9,95,15,2230,1,2,0,7,0,4,Radiocarbon dating considerations,91,15,7,Bachelor's degree(s),1773
5,5c8d54044597c00001459b8a,0.9,0.6,visual,4.333333333333333,12,155,12,2631,3,0,3,3,1,4,Subprime mortgage crisis,104,10,6,Bachelor's degree(s),1784
6,5ca3ab263c73ca00165e1f47,0.5,0.2631578947368421,visual,1.0,2,25,7,2937,1,3,0,5,1,4,Ethics,242,4,3,High School,1791
7,5be9502561009a00018fd2fb,0.4,0.2,visual,1.8571428571428572,14,225,24,3324,0,4,0,6,0,4,Ethics,35,21,10,High School,3086
8,5b28d18b007d870001c80b4b,0.6,0.4615384615384615,control,4.166666666666667,6,85,9,4611,1,2,2,2,3,4,Subprime mortgage crisis,185,9,0,Bachelor's degree(s),1828
9,5b6f45f685efdf00018a4228,0.2,0.11111111111111112,visual,4.75,4,45,4,2675,0,2,0,7,1,4,Subprime mortgage crisis,420,4,4,High School,1865
10,5db31089a1f8d3000c10a6c5,0.4,0.23529411764705885,control,2.6666666666666665,3,65,3,3494,1,2,0,5,2,4,Ethics,53,3,3,High School,414
11,5dfb852818c365010b98958e,1.6,0.888888888888889,visual,5.0,2,45,7,3819,8,0,0,1,1,4,Subprime mortgage crisis,148,7,6,High School,3107
12,5dae21b2232c620011d6a06e,1.0,0.5,control,4.2,10,165,44,2374,5,0,0,5,0,4,Subprime mortgage crisis,18,44,23,High School,1806
13,5de682581abb505f23455788,0.2,0.125,visual,4.090909090909091,11,135,19,2586,0,2,0,4,4,4,Irritable bowel syndrome,43,19,10,Bachelor's degree(s),2398
14,5c83374a1b699a00111c2e2d,0.3,0.15,control,3.25,4,125,16,3209,1,1,0,8,0,4,Radiocarbon dating considerations,33,14,110,Bachelor's degree(s),2647
15,59ac162fa372d6000157ed8e,0.5,0.29411764705882354,control,1.0,3,35,8,3091,2,1,0,5,2,4,Ethics,200,7,7,Master's degree(s),1825
16,5c34e402b96e660001cb5ce6,0.2,0.10526315789473685,control,3.375,8,84,19,2646,0,2,0,7,1,4,Genetically modified organism,61,16,10,High School,2431
17,5ba8a1d2c16a9c0001497a21,0.5,0.2777777777777778,control,3.5,4,165,10,2636,0,5,0,3,2,4,Genetically modified organism,43,8,8,Master's degree(s),2157
18,5e17956d94a2dc099b08aee2,0.1,0.05,control,3.888888888888889,9,165,17,3234,0,1,0,9,0,4,Radiocarbon dating considerations,71,16,8,Doctorate degree,1790
19,5df1078df9e75001269f9aef,0.8,0.4,visual,2.5625,16,175,20,4870,0,8,0,2,0,4,Radiocarbon dating considerations,51,16,7,High School,1754
20,5d21228723c079001923a6ba,0.7,0.3333333333333333,visual,5.818181818181818,11,115,25,2689,2,2,1,6,0,4,Noise-induced hearing loss,42,17,14,Bachelor's degree(s),2316
21,5b213220809d160001a2c36d,0.8,0.4444444444444445,control,2.375,8,85,9,4033,4,0,0,5,1,4,Irritable bowel syndrome,31,8,4,High School,3217
22,5e0c773013064443636d7d91,0.2,0.1,control,3.0,2,85,16,2487,0,2,0,8,0,4,Radiocarbon dating considerations,38,14,9,High School,1750
23,5bbbf5339697e20001462af2,0.3,0.13636363636363635,control,2.0,2,75,21,3983,0,3,0,8,0,4,Noise-induced hearing loss,61,16,30,Master's degree(s),1797
